"","hour","Corrected"
"1","2007-10-01",0.455682368775236
"2","2007-11-01",0.0884798890429958
"3","2007-12-01",0.319954301075269
"4","2008-01-01",0.564040322580645
"5","2008-02-01",0.517706896551724
"6","2008-03-01",0.513542395693136
"7","2008-04-01",0.428784422809458
"8","2008-05-01",0.532494623655914
"9","2008-06-01",0.87697619047619
"10","2008-07-01",0.571123655913979
"11","2008-08-01",0.407790322580645
"12","2008-09-01",0.405555555555556
"13","2008-10-01",0.343086021505376
"14","2008-11-01",-0.0670818307905687
"15","2008-12-01",0.119376344086022
"16","2009-01-01",0.199766129032258
"17","2009-02-01",0.244208333333333
"18","2009-03-01",0.364457604306864
"19","2009-04-01",0.494111111111111
"20","2009-05-01",-0.000905913978494623
"21","2009-06-01",0.404736111111111
"22","2009-07-01",0.266231182795699
"23","2009-08-01",0.54522311827957
"24","2009-09-01",0.645347222222222
"25","2009-10-01",0.489604838709677
"26","2009-11-01",0.297342579750347
"27","2009-12-01",0.0214059139784946
"28","2010-01-01",0.489846774193548
"29","2010-02-01",0.252556547619048
"30","2010-03-01",0.163703903095559
"31","2010-04-01",0.210902777777778
"32","2010-05-01",0.544967741935484
"33","2010-06-01",0.560138888888889
"34","2010-07-01",0.53897311827957
"35","2010-08-01",0.561903225806452
"36","2010-09-01",0.510527777777778
"37","2010-10-01",0.198018817204301
"38","2010-11-01",-0.0250846047156727
"39","2010-12-01",-0.0974247311827957
"40","2011-01-01",0.0752768817204301
"41","2011-02-01",-0.00119345238095238
"42","2011-03-01",0.18607267833109
"43","2011-04-01",0.0222361111111111
"44","2011-05-01",-0.399279569892473
"45","2011-06-01",-0.484208333333333
"46","2011-07-01",0.503368279569892
"47","2011-08-01",0.55139247311828
"48","2011-09-01",0.626916666666667
"49","2011-10-01",0.583139784946237
"50","2011-11-01",0.139076282940361
"51","2011-12-01",-0.115704301075269
"52","2012-01-01",-0.155583333333333
"53","2012-02-01",0.115163793103448
"54","2012-03-01",0.0136096904441454
"55","2012-04-01",0.206652777777778
"56","2012-05-01",0.510801075268817
"57","2012-06-01",0.234625
"58","2012-07-01",0.390491935483871
"59","2012-08-01",0.500397849462366
"60","2012-09-01",0.571458333333333
"61","2012-10-01",0.326849462365591
"62","2012-11-01",0.241101248266297
"63","2012-12-01",0.0280725806451613
"64","2013-01-01",-0.105569892473118
"65","2013-02-01",0.0764255952380952
"66","2013-03-01",0.138522207267833
"67","2013-04-01",0.326861111111111
"68","2013-05-01",0.308287634408602
"69","2013-06-01",0.410444444444444
"70","2013-07-01",0.507413978494624
"71","2013-08-01",0.172615591397849
"72","2013-09-01",0.569166666666667
"73","2013-10-01",0.492736559139785
"74","2013-11-01",0.173306759098787
"75","2013-12-01",0.0495208333333333
"76","2014-01-01",0.0612311827956989
"77","2014-02-01",0.0609791666666667
"78","2014-03-01",-0.135407806191117
"79","2014-04-01",-0.209402777777778
"80","2014-05-01",0.0918360215053763
"81","2014-06-01",0.258871794871795
"82","2014-07-01",0.436135416666667
"83","2014-08-01",0.449873655913978
"84","2014-09-01",0.646528735632184
"85","2014-10-01",0.530881720430108
"86","2014-11-01",0.371281553398058
"87","2014-12-01",0.284766129032258
"88","2015-01-01",0.138529569892473
"89","2015-02-01",0.104208333333333
"90","2015-03-01",-0.0690013458950202
"91","2015-04-01",-0.181319444444444
"92","2015-05-01",0.465209677419355
"93","2015-06-01",0.255486111111111
"94","2015-07-01",0.347965053763441
"95","2015-08-01",0.626755376344086
"96","2015-09-01",0.807138888888889
"97","2015-10-01",0.762266129032258
"98","2015-11-01",0.34150346740638
"99","2015-12-01",0.699537634408602
"100","2016-01-01",0.204819892473118
"101","2016-02-01",0.225192528735632
"102","2016-03-01",-0.113456258411844
"103","2016-04-01",0.06425
"104","2016-05-01",0.363704301075269
"105","2016-06-01",0.184472222222222
"106","2016-07-01",0.0988387096774194
"107","2016-08-01",0.440922043010753
"108","2016-09-01",0.291805555555556
"109","2016-10-01",0.519900537634409
"110","2016-11-01",0.341794729542302
"111","2016-12-01",0.138643962848297
"112","2017-01-01",-0.0466182795698925
"113","2017-02-01",-0.18928869047619
"114","2017-03-01",-0.208274562584118
"115","2017-04-01",-0.131243393602225
"116","2017-05-01",-0.0572634408602151
"117","2017-06-01",0.394598052851182
"118","2017-07-01",-0.0177876344086022
"119","2017-08-01",0.107633916554509
"120","2017-09-01",0.888013888888889
"121","2017-10-01",0.591566929133858
"122","2017-11-01",0.38647572815534
"123","2017-12-01",0.0487193277310924
"124","2018-01-01",-0.0898373655913978
"125","2018-02-01",-0.220786006698921
"126","2018-03-01",-0.0473694481830417
"127","2018-04-01",0.169164987843001
"128","2018-05-01",0.30910752688172
"129","2018-06-01",0.349703125
