Well,Latitude,Longitude
G860,25.62,-80.32
G580A,25.67,-80.3
G3549,25.49,-80.35
F179,25.746,-80.246
F45,25.829,-80.204
G561,26.096,-80.139
F319,25.704,-80.288
G1220,26.131,-80.146
G1260,26.318,-80.115
G2147,26.25,-80.101
G2866,26.278,-80.113
PB1680,26.367,-80.095
