Corrected_Mean,FORECAST,STD,L95,U95,RESIDUAL,,,,,
0.992,,,,,,,,Date,Actual Height,Forecasted Height
0.852,0.84917859,0.00602437,0.837371042,0.860986137,0.00282141,,,6/8/2018,2.002,1.764905231
0.842,0.852840149,0.00602437,0.841032601,0.864647696,-0.010840149,,,6/8/2018,2.002,1.765328403
0.842,0.835465689,0.00602437,0.823658141,0.847273236,0.006534311,,,6/8/2018,1.9995,1.765747536
0.842,0.840374016,0.00602437,0.828566468,0.852181563,0.001625985,,,6/8/2018,2.002,1.766162607
0.842,0.842654776,0.00602437,0.830847228,0.854462323,-0.000654776,,,6/8/2018,1.997,1.766573596
0.832,0.84230085,0.00602437,0.830493303,0.854108398,-0.01030085,,,6/8/2018,2.002,1.766980493
0.832,0.824763867,0.00602437,0.81295632,0.836571415,0.007236133,,,6/8/2018,1.9995,1.76738329
0.832,0.829627894,0.00602437,0.817820347,0.841435442,0.002372106,,,6/8/2018,1.997,1.767781981
0.832,0.83311478,0.00602437,0.821307232,0.844922327,-0.00111478,,,6/8/2018,1.9945,1.76817656
0.822,0.832003829,0.00602437,0.820196281,0.843811376,-0.010003829,,,6/8/2018,1.992,1.768567019
0.822,0.81505054,0.00602437,0.803242992,0.826858087,0.00694946,,,6/8/2018,1.992,1.768953351
0.822,0.819923717,0.00602437,0.808116169,0.831731264,0.002076283,,,6/8/2018,1.992,1.769335547
0.822,0.823057778,0.00602437,0.811250231,0.834865326,-0.001057778,,,6/8/2018,1.992,1.769713601
0.812,0.822408698,0.00602437,0.810601151,0.834216246,-0.010408698,,,6/8/2018,1.992,1.770087507
0.812,0.80487645,0.00602437,0.793068902,0.816683997,0.00712355,,,6/9/2018,1.992,1.77045726
0.812,0.809986683,0.00602437,0.798179136,0.82179423,0.002013317,,,6/9/2018,1.992,1.770822856
0.812,0.812438137,0.00602437,0.80063059,0.824245685,-0.000438137,,,6/9/2018,1.992,1.771184292
0.812,0.812316604,0.00602437,0.800509057,0.824124152,-0.000316604,,,6/9/2018,1.992,1.771541566
0.812,0.812059896,0.00602437,0.800252348,0.823867443,-0.000059896,,,6/9/2018,1.992,1.771894675
0.802,0.812337862,0.00602437,0.800530314,0.824145409,-0.010337862,,,6/9/2018,1.992,1.772243614
0.802,0.79488266,0.00602437,0.783075113,0.806690208,0.00711734,,,6/9/2018,1.992,1.772588382
0.802,0.799632922,0.00602437,0.787825374,0.811440469,0.002367078,,,6/9/2018,1.9895,1.772928975
0.802,0.802860114,0.00602437,0.791052567,0.814667661,-0.000860114,,,6/9/2018,1.982,1.77326539
0.802,0.802860958,0.00602437,0.791053411,0.814668506,-0.000860958,,,6/9/2018,1.982,1.773597626
0.792,0.801570662,0.00602437,0.789763115,0.81337821,-0.009570662,,,6/9/2018,1.982,1.773925679
0.792,0.785030451,0.00602437,0.773222903,0.796837998,0.006969549,,,6/9/2018,1.982,1.774249547
