Date,Corrected_Mean,FORECAST,STD,L95,U95,RESIDUAL,,,Actual Height,Forecasted Height
1/3/2016,0.862,0.87312931,0.006024364,0.861321775,0.884936846,-0.01112931,,1/14/2017,2.322,2.448575085
1/3/2016,0.862,0.855258746,0.006024364,0.843451211,0.867066282,0.006741254,,1/14/2017,2.322,2.448269114
1/3/2016,0.862,0.859784542,0.006024364,0.847977007,0.871592078,0.002215458,,1/14/2017,2.322,2.44795924
1/3/2016,0.862,0.862647842,0.006024364,0.850840307,0.874455377,-0.000647842,,1/14/2017,2.322,2.447645473
1/3/2016,0.852,0.86293346,0.006024364,0.851125924,0.874740995,-0.01093346,,1/14/2017,2.312,2.447327819
1/3/2016,0.852,0.844733163,0.006024364,0.832925627,0.856540698,0.007266838,,1/14/2017,2.312,2.447006265
1/3/2016,0.852,0.849187566,0.006024364,0.83738003,0.860995101,0.002812434,,1/14/2017,2.302,2.446680785
1/3/2016,0.842,0.852849133,0.006024364,0.841041598,0.864656669,-0.010849133,,1/14/2017,2.302,2.446351345
1/3/2016,0.842,0.835474703,0.006024364,0.823667167,0.847282238,0.006525297,,1/14/2017,2.302,2.44601791
1/3/2016,0.842,0.840383048,0.006024364,0.828575513,0.852190584,0.001616952,,1/14/2017,2.292,2.445680457
1/3/2016,0.842,0.842663748,0.006024364,0.830856213,0.854471284,-0.000663748,,1/14/2017,2.292,2.445338973
1/3/2016,0.832,0.842309883,0.006024364,0.830502348,0.854117419,-0.010309883,,1/14/2017,2.282,2.444993454
1/3/2016,0.832,0.82477292,0.006024364,0.812965385,0.836580455,0.00722708,,1/14/2017,2.282,2.444643904
1/3/2016,0.832,0.829636948,0.006024364,0.817829412,0.841444483,0.002363053,,1/14/2017,2.282,2.444290323
1/3/2016,0.832,0.833123849,0.006024364,0.821316313,0.844931384,-0.001123849,,1/14/2017,2.272,2.443932715
1/3/2016,0.822,0.83201287,0.006024364,0.820205335,0.843820405,-0.01001287,,1/14/2017,2.272,2.443571077
1/3/2016,0.822,0.815059622,0.006024364,0.803252087,0.826867157,0.006940378,,1/14/2017,2.272,2.443205407
1/3/2016,0.822,0.819932781,0.006024364,0.808125246,0.831740317,0.002067219,,1/14/2017,2.262,2.442835701
1/3/2016,0.822,0.823066878,0.006024364,0.811259342,0.834874413,-0.001066878,,1/14/2017,2.252,2.442461957
1/4/2016,0.812,0.822417789,0.006024364,0.810610253,0.834225324,-0.010417789,,1/15/2017,2.252,2.442084175
1/4/2016,0.812,0.804885565,0.006024364,0.79307803,0.816693101,0.007114435,,1/15/2017,2.242,2.441702357
1/4/2016,0.812,0.809995818,0.006024364,0.798188282,0.821803353,0.002004182,,1/15/2017,2.242,2.441316505
1/4/2016,0.812,0.812447232,0.006024364,0.800639697,0.824254768,-0.000447232,,1/15/2017,2.232,2.440926624
1/4/2016,0.812,0.812325724,0.006024364,0.800518188,0.824133259,-0.000325724,,1/15/2017,2.232,2.440532715
1/4/2016,0.812,0.812069022,0.006024364,0.800261487,0.823876558,-0.000069022,,1/15/2017,2.222,2.440134783
1/4/2016,0.802,0.812347004,0.006024364,0.800539469,0.82415454,-0.010347004,,1/15/2017,2.212,2.43973283
1/4/2016,0.802,0.794891796,0.006024364,0.78308426,0.806699331,0.007108204,,1/15/2017,2.212,2.439326859
1/4/2016,0.802,0.799642063,0.006024364,0.787834528,0.811449599,0.002357937,,1/15/2017,2.202,2.438916873
1/4/2016,0.802,0.802869282,0.006024364,0.791061746,0.814676817,-0.000869281,,1/15/2017,2.192,2.438502875
1/4/2016,0.802,0.802870155,0.006024364,0.791062619,0.81467769,-0.000870155,,1/15/2017,2.192,2.438084868
1/4/2016,0.792,0.801579811,0.006024364,0.789772276,0.813387347,-0.009579811,,1/15/2017,2.182,2.437662857
1/4/2016,0.792,0.785039634,0.006024364,0.773232098,0.796847169,0.006960367,,1/15/2017,2.172,2.437236845
1/4/2016,0.792,0.790098779,0.006024364,0.778291244,0.801906315,0.001901221,,1/15/2017,2.172,2.436806837
1/4/2016,0.792,0.793099799,0.006024364,0.781292264,0.804907335,-0.001099799,,1/15/2017,2.172,2.436372837
1/4/2016,0.792,0.792384515,0.006024364,0.78057698,0.804192051,-0.000384515,,1/15/2017,2.182,2.435934848
1/4/2016,0.782,0.791611896,0.006024364,0.779804361,0.803419432,-0.009611896,,1/15/2017,2.232,2.435492875
1/4/2016,0.782,0.774753965,0.006024364,0.762946429,0.7865615,0.007246035,,1/15/2017,2.282,2.435046922
1/4/2016,0.782,0.780210336,0.006024364,0.768402801,0.792017871,0.001789664,,1/15/2017,2.312,2.434596993
1/4/2016,0.782,0.782928171,0.006024364,0.771120635,0.794735706,-0.000928171,,1/15/2017,2.342,2.434143092
1/4/2016,0.782,0.782930942,0.006024364,0.771123407,0.794738477,-0.000930942,,1/15/2017,2.362,2.433685224
1/4/2016,0.782,0.78170788,0.006024364,0.769900344,0.793515415,0.000292121,,1/15/2017,2.372,2.433223394
1/4/2016,0.772,0.781326549,0.006024364,0.769519013,0.793134084,-0.009326549,,1/15/2017,2.372,2.432757605
1/4/2016,0.772,0.765286989,0.006024364,0.753479454,0.777094525,0.006713011,,1/15/2017,2.382,2.432287862
1/5/2016,0.772,0.769967584,0.006024364,0.758160049,0.78177512,0.002032416,,1/16/2017,2.382,2.431814171
1/5/2016,0.772,0.773194682,0.006024364,0.761387147,0.785002218,-0.001194682,,1/16/2017,2.382,2.431336535
1/5/2016,0.772,0.772340791,0.006024364,0.760533255,0.784148326,-0.000340791,,1/16/2017,2.382,2.430854958
1/5/2016,0.772,0.77142918,0.006024364,0.759621644,0.783236715,0.00057082,,1/16/2017,2.382,2.430369447
1/5/2016,0.762,0.772073926,0.006024364,0.760266391,0.783881462,-0.010073926,,1/16/2017,2.382,2.429880005
1/5/2016,0.762,0.75547691,0.006024364,0.743669374,0.767284445,0.00652309,,1/16/2017,2.382,2.429386637
1/5/2016,0.762,0.760160744,0.006024364,0.748353208,0.771968279,0.001839256,,1/16/2017,2.382,2.428889348
1/5/2016,0.762,0.76259322,0.006024364,0.750785685,0.774400755,-0.00059322,,1/16/2017,2.382,2.428388143
1/5/2016,0.762,0.762180647,0.006024364,0.750373111,0.773988182,-0.000180647,,1/16/2017,2.382,2.427883026
1/5/2016,0.762,0.761631409,0.006024364,0.749823873,0.773438944,0.000368592,,1/16/2017,2.382,2.427374003
1/5/2016,0.752,0.762219013,0.006024364,0.750411477,0.774026548,-0.010219013,,1/16/2017,2.382,2.426861078
1/5/2016,0.752,0.745507608,0.006024364,0.733700073,0.757315144,0.006492392,,1/16/2017,2.382,2.426344257
1/5/2016,0.752,0.750126513,0.006024364,0.738318978,0.761934049,0.001873487,,1/16/2017,2.382,2.425823544
1/5/2016,0.752,0.752597375,0.006024364,0.740789839,0.76440491,-0.000597375,,1/16/2017,2.382,2.425298944
1/5/2016,0.752,0.752147654,0.006024364,0.740340118,0.763955189,-0.000147654,,1/16/2017,2.382,2.424770463
1/5/2016,0.752,0.751581604,0.006024364,0.739774069,0.76338914,0.000418396,,1/16/2017,2.382,2.424238105
1/5/2016,0.752,0.752168822,0.006024364,0.740361287,0.763976358,-0.000168822,,1/16/2017,2.382,2.423701876
1/5/2016,0.742,0.752329482,0.006024364,0.740521946,0.764137017,-0.010329482,,1/16/2017,2.382,2.423161781
1/5/2016,0.742,0.735477264,0.006024364,0.723669728,0.747284799,0.006522737,,1/16/2017,2.382,2.422617824
1/5/2016,0.742,0.739754321,0.006024364,0.727946786,0.751561857,0.002245679,,1/16/2017,2.382,2.422070012
1/5/2016,0.742,0.742434274,0.006024364,0.730626739,0.75424181,-0.000434274,,1/16/2017,2.382,2.421518349
